Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
350280,Piso 21,Te Vi,059bcIhyc2SBwm6sw2AZzd,74,2018,pop,0.877,0.777,1,-4.246,1,0.117,0.0446,3.46e-05,0.0863,0.706,102.02,231848,4
506692,"Tyler, The Creator",SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),3EG9FJ0ToLfgnc1IG2Z1wz,74,2021,hip-hop,0.468,0.652,0,-4.912,1,0.0722,0.333,0.000318,0.55,0.39,140.223,588139,4
605191,Cordae,Two Tens (feat. Anderson .Paak),6clDsO8HwhHEgJDDp88VdL,74,2023,hip-hop,0.603,0.546,4,-7.525,0,0.35,0.194,2.68e-06,0.0783,0.667,87.99,152372,4
605186,$uicideboy$,Big Shot Cream Soda,3wHRgXJJTTwS2CkusTpn56,74,2023,hip-hop,0.878,0.714,8,-6.344,1,0.239,0.0528,7.64e-06,0.143,0.636,150.029,195600,4
350263,Ozuna,Vaina Loca,48zFZh27QU5qsrBjn4C2FA,74,2018,pop,0.754,0.805,6,-4.249,1,0.0752,0.315,0.0,0.203,0.555,93.982,176133,4
564964,Falling In Reverse,Voices In My Head,5XUuldRjPXcP5QxyEN4IXT,74,2022,metal,0.546,0.898,2,-3.067,0,0.162,0.0266,0.0,0.129,0.639,173.17,191415,4
495026,Lil Peep,your favorite dress,186bb3vDk1yzNK5u3e7h7O,74,2021,emo,0.494,0.628,7,-7.615,1,0.0541,0.0814,0.0,0.111,0.101,129.966,177387,3
598925,Ana Castela,Carinha de Bebê,2jZrMlMuTk1N3LJS8yQM6q,74,2023,funk,0.762,0.915,11,-2.596,0,0.0636,0.455,0.0,0.157,0.735,131.965,175226,4
350253,James Arthur,Rewrite The Stars (with James Arthur & Anne-Marie),6mQLN3zRtAp6ovjusyYKrV,74,2018,pop,0.67,0.743,10,-4.993,1,0.0393,0.237,0.0,0.465,0.571,125.944,218293,4
466601,Junior H,Intro,1s1hRKC0zaL2O7zdLIm6md,74,2020,sad,0.694,0.59,2,-6.023,0,0.0248,0.32,0.0682,0.104,0.338,105.022,240389,3
612572,Daniel Caesar,Do You Like Me?,6q4yusLwjDYEcF6jXHdt7J,74,2023,pop,0.714,0.407,11,-6.806,1,0.0422,0.522,0.00618,0.128,0.358,76.978,227664,4
612575,Gracie Abrams,I know it won't work,5FGDtm3MXJe8LikBkOJnOQ,74,2023,pop,0.653,0.575,5,-8.95,0,0.0594,0.537,7.9e-05,0.121,0.409,119.888,245629,4
612589,Latto,Lottery (feat. LU KALA),1JUtrCqYzJ80tcAzMbCvir,74,2023,pop,0.792,0.874,1,-2.966,1,0.0852,0.0158,0.000365,0.071,0.934,113.969,186762,4
355344,Kina,Can We Kiss Forever?,58wyJLv6yH1La9NIZPl3ne,74,2018,sad,0.522,0.128,4,-18.717,1,0.0357,0.894,0.026,0.0941,0.124,109.986,187932,4
56398,The Neighbourhood,Afraid,7brQHA2CgQpcMBiOlfiXYb,74,2013,alt-rock,0.464,0.701,6,-5.693,0,0.0411,0.00892,0.309,0.335,0.356,83.996,251187,4
321047,Selena Gomez,Back To You - From 13 Reasons Why – Season 2 Soundtrack,4hQ6UGyWQIGJmHSo0J88JW,74,2018,dance,0.601,0.724,6,-4.856,1,0.0486,0.0945,1.68e-06,0.12,0.508,102.061,207905,4
506696,Key Glock,Ambition For Cash,4mIHgQ3ofK2RK34UdbqMbe,74,2021,hip-hop,0.841,0.732,7,-5.186,0,0.19,0.0115,2.18e-05,0.136,0.576,149.012,143480,4
456855,BTS,Filter,4bZZVcgWWMWPBwzTTp642w,74,2020,k-pop,0.779,0.762,10,-5.188,0,0.0631,0.0224,0.0,0.121,0.859,110.043,180221,4
255749,Novo Amor,Anchor,7qH9Z4dJEN0l9bidizW7fq,74,2017,ambient,0.457,0.407,9,-11.475,1,0.0308,0.805,0.884,0.126,0.126,117.053,257533,4
456849,Stray Kids,God’s Menu,4XPXrcpyNr30Km6aPiflJy,74,2020,k-pop,0.689,0.771,5,-3.618,1,0.0548,0.00776,0.0,0.521,0.482,157.052,167922,4
1282126,Paramore,All I Wanted,1Bv3h7Vc4AaYA2BcSM3rVd,74,2009,emo,0.494,0.723,6,-4.559,0,0.0441,0.0192,0.0322,0.134,0.152,144.036,225787,4
321071,Calvin Harris,Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,74,2018,dance,0.781,0.768,11,-5.991,1,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,213309,4
620234,Rels B,yo pr1mero,0O0kmHHBUG4YCqrKvMnmQy,74,2023,spanish,0.935,0.532,8,-6.416,0,0.0396,0.403,0.0,0.089,0.844,110.013,195273,4
1283053,Bon Iver,Rosyln,4k7x3QKrc3h3U0Viqk0uop,74,2009,folk,0.329,0.277,10,-13.111,0,0.0302,0.971,0.024,0.0971,0.121,159.719,289560,3
244732,Alok,Hear Me Now,39cmB3ZoTOLwOTq7tMNqKa,74,2016,house,0.778,0.463,11,-7.603,1,0.0389,0.546,0.00289,0.0731,0.496,121.999,194840,4
561976,Muni Long,Hrs & Hrs,3ncmoWTwJgx63LwMTyBCXf,74,2022,indie-pop,0.52,0.546,8,-4.991,0,0.213,0.579,0.0,0.112,0.634,137.419,204317,3
561977,JVKE,this is what heartbreak feels like,4RxdAzEmkPXTiIU6ULLoXh,74,2022,indie-pop,0.707,0.474,1,-4.603,1,0.0672,0.578,0.0,0.11,0.538,109.991,157636,4
561979,Cults,Gilded Lily - Sped Up,0M6urYKXizSJgtuipqmctu,74,2022,indie-pop,0.382,0.586,1,-6.402,0,0.031,0.484,7.7e-06,0.167,0.119,68.156,192727,4
615629,Conjunto Rienda Real,Sobran Motivos,1uTHr7ij3eiDdUXvQfA5au,74,2023,sad,0.659,0.794,5,-4.379,0,0.0381,0.349,3.91e-06,0.168,0.776,123.801,185339,4
254812,Sam Tinnesz,Play with Fire (feat. Yacht Money),7vguMCv8uVuZLiQJ156u3Z,74,2017,alt-rock,0.573,0.539,2,-6.091,0,0.0322,0.0162,1.16e-05,0.105,0.39,75.012,180691,4
562004,Måneskin,SUPERMODEL,63WuQOXohQIxOxIFA2K7bR,74,2022,indie-pop,0.636,0.876,7,-3.413,1,0.0555,0.00164,0.0,0.117,0.799,120.983,148064,4
406440,Dean Lewis,Waves,6w8pFOKn42O418qwcQElZ3,74,2019,pop,0.518,0.729,11,-7.193,0,0.0452,0.183,0.0,0.0643,0.343,156.879,240013,4
964702,Franco De Vita,Tú de Qué Vas,66iygyOSvvoQQsKJ1vEXfT,74,2004,pop,0.607,0.629,11,-5.931,1,0.0316,0.405,0.0,0.203,0.567,80.11,238160,4
272521,XXXTENTACION,RIP Roach,658I1uDnmLSiltFCf98AWE,74,2017,emo,0.727,0.62,8,-6.443,1,0.306,0.398,0.0,0.0926,0.555,105.003,169979,4
146787,Lana Del Rey,The Other Woman,1KuVEZR4xuQVNr1KkanAV4,74,2014,pop,0.255,0.468,7,-6.43,0,0.0317,0.822,0.248,0.339,0.175,111.67,181960,4
551811,Mc Delux,Se Voce Nao Quer Passa a Vez,7snnTlaWaN39nfN1PhUaT8,74,2022,funk,0.956,0.827,9,1.295,1,0.222,0.136,0.000259,0.423,0.614,129.949,133846,4
406687,Armaan Malik,Pehla Pyaar,0ojpEubhy4JNeVftmVuiN7,74,2019,pop-film,0.607,0.713,4,-5.105,1,0.03,0.56,4.98e-05,0.101,0.611,124.868,272533,4
